,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
573543,2020-01-10 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,120,60,425
751696,2020-01-10 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,117,41,556
189698,2020-01-10 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,95,31,397
978406,2020-01-10 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,95,33,382
1003612,2020-01-10 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,101,28,410
1219309,2020-01-10 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,107,26,356
79921,2020-01-10 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,100,27,295
1097130,2020-01-10 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,100,24,407
1190191,2020-01-10 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,88,21,385
497598,2020-01-10 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,84,21,325
1310640,2020-01-10 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,114,21,274
917987,2020-01-10 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,88,21,275
496484,2020-01-10 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,17,313
1113837,2020-01-10 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,91,19,221
685299,2020-01-10 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,102,25,303
393429,2020-01-10 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,92,32,308
1169227,2020-01-10 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,111,43,317
852137,2020-01-10 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,109,51,299
158938,2020-01-11 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,132,52,277
1087628,2020-01-11 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,146,50,159
706456,2020-01-11 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,167,58,131
420970,2020-01-11 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,116,51,74
146622,2020-01-11 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,134,54,75
937580,2020-01-11 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,136,64,124
514787,2020-01-11 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,136,57,202
955202,2020-01-11 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,116,49,269
241064,2020-01-11 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,112,42,329
329247,2020-01-11 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,36,384
418854,2020-01-11 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,97,36,375
1074518,2020-01-11 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,105,29,316
